case,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
RBC,v,Causal-PINN,0.0004650206828955561,0.021564338356256485,0.016921062022447586,2.5877203941345215,91425.046875,0.11182017624378204,0.016921062022447586,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,v,Param-ANN-PINN,4.302052184357308e-05,0.00655900314450264,0.0051943655125796795,0.7870802879333496,787080282112.0,0.018313109874725342,0.0051943655125796795,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,v,Param-ANN-PINN,1.9431228793109767e-05,0.004408086650073528,0.003746609902009368,0.5289704203605652,37377.41015625,0.010436656884849072,0.003746609902009368,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,v,Param-ANN-PINN,0.00024027159088291228,0.015500696375966072,0.011382177472114563,1.8600835800170898,65717.390625,0.04632141441106796,0.011382177472114563,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,v,PirateNet,8.040152351895813e-06,0.0028355163522064686,0.002318653278052807,0.34026196599006653,340261961728.0,0.011033101007342339,0.002318653278052807,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,v,PirateNet,3.0816874641459435e-05,0.005551294889301062,0.004577988293021917,0.6661554574966431,47071.0,0.014381662011146545,0.004577988293021917,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,v,PirateNet,5.262669219519012e-05,0.007254425436258316,0.0060161324217915535,0.8705309629440308,30756.15625,0.03533007949590683,0.0060161324217915535,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,p,PINN,1.861590703811089e-06,0.0013644011924043298,0.001035449793562293,0.16372814774513245,0.02706250734627247,0.00920068472623825,0.001035449793562293,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,p,PINN,7.169936907303054e-06,0.0026776737067848444,0.0021722407545894384,0.3213208317756653,0.05311088636517525,0.010608397424221039,0.0021722407545894384,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,p,PINN,0.0003347379097249359,0.01829584315419197,0.014794474467635155,2.1955010890960693,0.3628927767276764,0.039132364094257355,0.014794474467635155,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,p,ResAtten-PINN,4.6725581341888756e-06,0.0021616099402308464,0.0018344605341553688,0.25939318537712097,0.04287491366267204,0.004817686975002289,0.0018344605341553688,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,p,ResAtten-PINN,3.93067921322654e-06,0.001982593908905983,0.0017537992680445313,0.23791128396987915,0.03932418301701546,0.005334977991878986,0.0017537992680445313,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,p,ResAtten-PINN,0.00015977266593836248,0.012640121392905712,0.01015294250100851,1.5168145895004272,0.25071319937705994,0.03413432091474533,0.01015294250100851,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,p,LSTM-PINN,7.328461038014211e-07,0.0008560643182136118,0.0007065958925522864,0.10272771865129471,0.016979791224002838,0.0031297579407691956,0.0007065958925522864,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,p,LSTM-PINN,1.078477089322405e-05,0.0032840175554156303,0.0026546455919742584,0.39408209919929504,0.06513754278421402,0.007770531810820103,0.0026546455919742584,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
