case,time,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
RBC,1.0,v,LSTM-PINN,6.289462180575356e-05,0.007930613122880459,0.006121270824223757,0.9516734480857849,67245.8984375,0.01994195394217968,0.006121270824223757,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,1.0,v,DP-PINN,2.4586084691691212e-05,0.004958435893058777,0.003911715932190418,0.5950121283531189,42043.96484375,0.02054259181022644,0.003911715932190418,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,1.0,v,Causal-PINN,0.0002985665632877499,0.01727907918393612,0.014097419567406178,2.073489189147949,146514.171875,0.039279136806726456,0.014097419567406178,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,1.0,v,Param-ANN-PINN,1.9431228793109767e-05,0.004408086650073528,0.003746609902009368,0.5289704203605652,37377.41015625,0.010436656884849072,0.003746609902009368,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,1.0,v,PirateNet,3.0816874641459435e-05,0.005551294889301062,0.004577988293021917,0.6661554574966431,47071.0,0.014381662011146545,0.004577988293021917,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,1.0,p,PINN,7.169936907303054e-06,0.0026776737067848444,0.0021722407545894384,0.3213208317756653,0.05311088636517525,0.010608397424221039,0.0021722407545894384,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,1.0,p,ResAtten-PINN,3.93067921322654e-06,0.001982593908905983,0.0017537992680445313,0.23791128396987915,0.03932418301701546,0.005334977991878986,0.0017537992680445313,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,1.0,p,LSTM-PINN,1.078477089322405e-05,0.0032840175554156303,0.0026546455919742584,0.39408209919929504,0.06513754278421402,0.007770531810820103,0.0026546455919742584,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,1.0,p,DP-PINN,6.948093869141303e-06,0.0026359236799180508,0.00207566493190825,0.3163108229637146,0.05228278785943985,0.009721092879772186,0.00207566493190825,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,1.0,p,Causal-PINN,1.2318429980950896e-05,0.003509762231260538,0.00250710709951818,0.42117151618003845,0.06961513310670853,0.017345279455184937,0.00250710709951818,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,1.0,p,Param-ANN-PINN,6.9710104071418755e-06,0.0026402671355754137,0.002224255120381713,0.316832035779953,0.05236893892288208,0.006782550364732742,0.002224255120381713,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,1.0,p,PirateNet,1.3172259514249163e-06,0.0011477046646177769,0.0008760180789977312,0.13772454857826233,0.02276439033448696,0.0038945749402046204,0.0008760180789977312,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,1.0,T,PINN,1.9769640857703052e-05,0.004446306265890598,0.0037605285178869963,0.5335566997528076,0.008967336267232895,0.012971162796020508,0.0037605285178869963,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
